PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO440788,CHILD AND FAMILY SERVICES,MEDICAL CONSULTING 78,$38480.00,10/01/2012,LAKIESHA HARDY,3813 SWANN ROAD #103   ; SUITLAND  ; MD  ; 20746-,SUITLAND  ,MD
PO440626,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$100000.00,10/01/2012,NING SHAO,"SUITE A401, 399 WEST NANJING R HUANGPN DISTRICT  ; SHANGHAI 200003  ;    ; 20000-3",SHANGHAI 200003  ,
PO441083,OFFICE OF CHIEF FINANCIAL OFFICER,BANKING SERVICES 25,$17757.00,10/01/2012,EFUNDS CORPORATION,601 RIVERSIDE AVENUE  ; JACKSONVILLE  ; FL  ; 32204-,JACKSONVILLE  ,FL
PO440949,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$35280.00,10/01/2012,FIRST HOME CARE CORPORATION,1012 14TH STREET NW                                SUITE 1400  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO440865,DEPARTMENT OF MENTAL HEALTH,"VOLTAGE LINE THERMOSTATS, INVERTERS, CONVERTERS, SPIKE AND SURGE CONTROLLERS 90",$4400.00,10/01/2012,ATLANTIC ELECTRIC SUPPLY CORP,3726 10TH STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO441011,METROPOLITAN POLICE DEPARTMENT,FLEET MANAGEMENT SERVICES 41,$25000.00,10/01/2012,MR. WASH CAR WASH,"4837 WISCONSIN AVENUE, NW  #200  ; WASHINGTON  ; DC  ; 20016-",WASHINGTON  ,DC
PO440748,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$10010.00,10/01/2012,BUSINESS STRATEGY CONSULTANTS,9701 APOLLO DRIVE SUITE 445  ; LARGO  ; MD  ; 20774-,LARGO  ,MD
PO441097,DEPARTMENT OF TRANSPORTATION,TREE AND SHRUB REMOVAL SERVICES 88,$157326.40,10/01/2012,COMMUNITY BRIDGE INC,ONE SCOTT CIRCLE NW                                SUITE 820  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO441093,DEPARTMENT OF MENTAL HEALTH,SNOW AND ICE REMOVAL SERVICES 72,$3000.00,10/01/2012,COMMUNITY BRIDGE INC,ONE SCOTT CIRCLE NW                                SUITE 820  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO440631,DEPARTMENT OF MENTAL HEALTH,"REPAIR KITS, HOSPITAL AND MEDICAL EQUIPMENT 83",$7000.00,10/01/2012,PREMIER OFFICE & MEDICAL SUPPLY DBA: PREMIER SUPPLIERS,1020 49TH STREET NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO440776,DEPARTMENT OF MENTAL HEALTH,HOSPITAL AND SURGICAL EQUIPMENT AND ACCESSORIES (NOT OTHERWISE CLASSIFIED) 48,$4605.00,10/01/2012,PREMIER OFFICE & MEDICAL SUPPLY DBA: PREMIER SUPPLIERS,1020 49TH STREET NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO440685,OFFICE OF THE ATTORNEY GENERAL,,$21600.00,10/01/2012,URBAN PARKING VENTURES LLC,"SUITE 293                                          1718 M STREET, NW  ; WASHINGTON  ; DC  ; 20036",WASHINGTON  ,DC
PO440958,CHILD AND FAMILY SERVICES,SUPPORT SERVICES 85,$1351327.00,10/01/2012,COLUMBIA HEIGHTS SHAW COLLABRATIVE,"1816 12TH STREET, NW SUITE 201   ; WASHINGTON  ; DC  ; 20009-",WASHINGTON  ,DC
PO441030,DEPARTMENT OF MENTAL HEALTH,INTEGRATED SOFTWARE 53,$2852.00,10/01/2012,EXECUTIVE INFORMATION SYS LLC,"6901 ROCKLEDGE DR, STE 600   ; BETHESDA  ; MD  ; 20817-",BETHESDA  ,MD
PO441002,DEPARTMENT ON DISABILITY SERVICES,MEDICAL CONSULTING 78,$92960.00,10/01/2012,PATRICIA R. COTT,11327 HARRISON STREET   ; FULTON  ; MD  ; 20759-,FULTON  ,MD
PO441128,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$262800.00,10/01/2012,WOODLEY HOUSE INC.FORM,1408 N. CAPITOL ST NW   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO440680,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$707640.10,10/01/2012,WOODLEY HOUSE INC.FORM,1408 N. CAPITOL ST NW   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO440915,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$246375.00,10/01/2012,WOODLEY HOUSE INC.FORM,1408 N. CAPITOL ST NW   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO440676,DEPARTMENT OF MENTAL HEALTH,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$24800.00,10/01/2012,PAUL M. WASHINGTON,"1940 U PLACE, SE  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO441087,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$18745.20,10/01/2012,PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY,650 PENN. AVE SE STE 230   ; WASHINGTON  ; DC  ; 22201-,WASHINGTON  ,DC
PO440708,OFFICE OF DISABILITY RIGHTS,EDUCATION AND TRAINING CONSULTING 38,$68246.00,10/01/2012,INCLUSION RESEARCH INSTITUTE,"1010 WISCONSIN AVE., NW                            SUITE 340  ; WASHINGTON  ; DC  ; 20007-3680",WASHINGTON  ,DC
PO440967,CHILD AND FAMILY SERVICES,SUPPORT SERVICES 85,$2091914.00,10/01/2012,EAST RIVER FAMILY STREGTHENING,"3917 MINNESOTA AVE, NE   ; WASHINGTON  ; DC  ; 20019-",WASHINGTON  ,DC
PO441047,DEPARTMENT OF GENERAL SERVICES,"ENGINES, DIESEL (AUTOMOTIVE) AND REPLACEMENT PARTS 38",$4000000.00,10/01/2012,"FANNON PETROLEUM SVCS., INC.",7755 PROGRESS COURT  ; GAINESVILLE  ; VA  ; 20155,GAINESVILLE  ,VA
PO440828,DEPARTMENT OF MENTAL HEALTH,COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33,$9888.00,10/01/2012,SUPPLY ROOM COMPANIES,14140 N. WASHINGTON HWY   ; ASHLAND  ; VA  ; 23005-,ASHLAND  ,VA
PO440806,DEPARTMENT OF MENTAL HEALTH,COPY PAPER - SPECIALIZED HIGH SPEED (INCLUDED RECYCLED) 33,$9765.10,10/01/2012,SUPPLY ROOM COMPANIES,14140 N. WASHINGTON HWY   ; ASHLAND  ; VA  ; 23005-,ASHLAND  ,VA
PO440823,DEPARTMENT OF MENTAL HEALTH,"MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62",$3271.00,10/01/2012,"LAUNCH, LLC",6856 EASTERN AVENUE NW                             SUITE 211  ; WASHINGTON  ; DC  ; 20012-0000,WASHINGTON  ,DC
PO440623,CHILD AND FAMILY SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$65044.65,10/01/2012,LINDSAY J. HOFFMAN,4602 WILWYN WAY  ; ROCKVILLE  ; MD  ; 20852,ROCKVILLE  ,MD
PO440760,OFFICE OF THE ATTORNEY GENERAL,MANAGEMENT CONSULTING 75,$3641754.92,10/01/2012,SYSTEMS AND METHODS INC,106 WEDGEWOOD DRIVE  ; CARROLLTON  ; GA  ; 30117-4336,CARROLLTON  ,GA
PO441092,DEPARTMENT OF MENTAL HEALTH,INTEGRATED SOFTWARE 53,$2625.80,10/01/2012,"BBS TECHNOLOGIES, INC.",802 LOVETT BLVD  ; HOUSTON  ; TX  ; 77006,HOUSTON  ,TX
PO440986,DEPARTMENT ON DISABILITY SERVICES,INVENTORY CONSULTING 70,$10000.00,10/01/2012,INTEGRATED ASSET MANAGEMENT,8289 HIGHGLADE COURT  ; MILLERSVILLE  ; MD  ; 21108,MILLERSVILLE  ,MD
PO441077,OFFICE OF CHIEF FINANCIAL OFFICER,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$4400.00,10/01/2012,SMITH TRAVEL RESEARCH,735 EAST MAIN ST.  ; HENDERSONVILLE  ; TN  ; 37075,HENDERSONVILLE  ,TN
PO441022,DEPARTMENT ON DISABILITY SERVICES,MEDICAL CONSULTING 78,$88550.28,10/01/2012,DR JACQUELINE MCMORRIS,4304 10TH ST NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO440780,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$6501.60,10/01/2012,FFT LLC,1251 NORTHWEST ELFORD DRIVE   ; SEATTLE  ; WA  ; 98177-,SEATTLE  ,WA
PO440715,DEPARTMENT OF MENTAL HEALTH,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$4000.00,10/01/2012,"SUSAN GREEN, J.D., LLM","3515 36TH STREET, NW   ; WASHINGTON  ; DC  ; 20016-3149",WASHINGTON  ,DC
PO440935,DC PUBLIC LIBRARY,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$200000.00,10/01/2012,INGRAM LIBRARY SERVICES,ONE INGRAM BLVD   ; LAVERGNE  ; TN  ; 37086-,LAVERGNE  ,TN
PO440895,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$3100.00,10/01/2012,GISELLE AQUILAR HASS,9309 WISC AVE  ; BETHESDA  ; MD  ; 20814,BETHESDA  ,MD
PO441031,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$56250.00,10/01/2012,LAW OFFICES OF DEUSDEDI MERCED,49 BOULDER RIDGE ROAD   ; SCARSDALE  ; NY  ; 10583-,SCARSDALE  ,NY
PO441043,DEPARTMENT OF GENERAL SERVICES,"ENGINES, DIESEL (AUTOMOTIVE) AND REPLACEMENT PARTS 38",$2000000.00,10/01/2012,MANSFIELD OIL COMPANY,"1025 AIRPORT PARKWAY, SW  ; GAINSVILLE  ; GA  ; 30501",GAINSVILLE  ,GA
PO440906,DEPARTMENT OF MENTAL HEALTH,EDUCATION AND TRAINING CONSULTING 38,$338217.64,10/01/2012,CONSUMER ACTION NETWORK,1300 L STREET N.W. STE.#1000  ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO441016,DEPARTMENT ON DISABILITY SERVICES,MEDICAL CONSULTING 78,$88265.10,10/01/2012,FIZZEH S. NELSON-DESIDERIO,205 HOLMARD STREET   ; GAITHERSBURG  ; MD  ; 20878-5621,GAITHERSBURG  ,MD
PO440856,CHILD AND FAMILY SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$34179.60,10/01/2012,RENEE D. LYNCH,12027 PANTHERS RIDGE DRIVE   ; GERMANTOWN  ; MD  ; 20876-,GERMANTOWN  ,MD
PO440993,DEPARTMENT OF PUBLIC WORKS,"AUTOMOBILE, TRUCK AND BUS PARTS AND EQUIPMENT 09",$50000.00,10/01/2012,VARITECH INC,3904 BISHOP LANE                                   SUITE 805  ; LOUISVILLE  ; KY  ; 40218,LOUISVILLE  ,KY
PO441072,SPECIAL EDUCATION TRANSPORTATION,"WATER SERVICES, BOTTLED 94",$32000.00,10/01/2012,NESTLE WATERS AMERICA INC.,6661 DIXIE HWY  SUITE 4  ; LOUISVILLE   ; KY  ; 40258-,LOUISVILLE   ,KY
PO440628,DEPARTMENT OF MENTAL HEALTH,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$29169.60,10/01/2012,MICHELE R. FAUNTROY,9615 MIDLAND TURN   ; UPPER MARLBORO  ; MD  ; 20772-,UPPER MARLBORO  ,MD
PO440695,DEPARTMENT ON DISABILITY SERVICES,MEDICAL CONSULTING 78,$77563.20,10/01/2012,DR ANN L B WILLIAMS,"3614 PROSPECT STREET, NW   ; WASHINGTON  ; DC  ; 20007-",WASHINGTON  ,DC
PO440875,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$250000.00,10/01/2012,NEWBRANDANALYTICS,1250 23RD STREET NW 4TH FLOOR  ; WASHINGTON  ; DC  ; 20037-,WASHINGTON  ,DC
PO440756,CHILD AND FAMILY SERVICES,FAMILY AND SOCIAL SERVICES (INCLUDING SHOPPING AND BUYING SERVICES) 43,$61732.00,10/01/2012,ARLENE ARYEE,8334 SNOWDEN OAKS PLACE  ; LAUREL  ; MD  ; 20708,LAUREL  ,MD
PO441033,DEPARTMENT ON DISABILITY SERVICES,MEDICAL CONSULTING 78,$62050.56,10/01/2012,"D. GAMBLES & ASSOCIATES, PLLC","1725 I STREET, NW  ; WASHINGTON  ; DC  ; 20006",WASHINGTON  ,DC
PO441023,DEPARTMENT ON DISABILITY SERVICES,MEDICAL CONSULTING 78,$70478.10,10/01/2012,VERONICA BEDEAU,12405 PLEASANT PROSPECT RD   ; MITCHELLVILLE  ; MD  ; 20721-,MITCHELLVILLE  ,MD
PO441297,DEPARTMENT OF MENTAL HEALTH,SOFTWARE MAINTENANCE/SUPPORT 45,$13185.00,10/01/2012,CLARIZEN INC.,2755 CAMPUS DRIVE SUITE 115  ; SAN MATEO  ; CA  ; 94403-,SAN MATEO  ,CA
PO440636,DEPARTMENT OF MENTAL HEALTH,DRIVER AND HARDWARE SUPPORT PROGRAMS 41,$5994.16,10/01/2012,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO440900,DEPARTMENT OF MENTAL HEALTH,SOFTWARE MAINTENANCE/SUPPORT 45,$2750.00,10/01/2012,"ANASAZI, SOFTWARE INC.",1121 W WARNER ROAD SUITE -101  ; TEMPE  ; AZ  ; 85284-,TEMPE  ,AZ
PO441299,DEPARTMENT OF MENTAL HEALTH,"BOOKS, REFERENCE: DICTIONARIES, ENCYCLOPEDIAS, ETC. 12",$7500.00,10/01/2012,LANGUAGE LINE SERVICE INC,1 LOWER RAGSDALE DRIVE                             BUILDING 2  ; MONTEREY  ; CA  ; 93940,MONTEREY  ,CA
PO441055,DEPARTMENT ON DISABILITY SERVICES,MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55,$53560.00,10/01/2012,"TONYA W. LOCKWOOD, PSY D",7829 BELLE POINT DRIVE WORD OF LIFE DEVELOPMENT CTR  ; GREENBELT  ; MD  ; 20770-,GREENBELT  ,MD
PO440615,CHILD AND FAMILY SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$12374.00,10/01/2012,"PUBLIC ALLIES, INC.","735 N. WATER STREET, SUITE 550  ; MILWAUKEE  ; WI  ; 53202-4104",MILWAUKEE  ,WI
PO441068,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$36000.00,10/01/2012,LAW OFFICES OF JOSEPH P.SELBKA,53 W. JACKSON BLVD SUITE 956  ; CHICAGO  ; IL  ; 60804,CHICAGO  ,IL
PO440863,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$78078.70,10/01/2012,JAMES H. HUTCHINSON MD,5415 KIRKWOOD DRIVE  ; BETHESDA  ; MD  ; 20816,BETHESDA  ,MD
PO440963,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$81122.85,10/01/2012,"A.W. HOLDINGS, LLC",8515 BLUFFTON RD  ; FORT WAYNE  ; IN  ; 46809-3022,FORT WAYNE  ,IN
PO440647,DEPARTMENT OF MENTAL HEALTH,MEDICAL CONSULTING 78,$4840.00,10/01/2012,"MACPHARM DRUGS, LLC",5100 SHAMROCK DELIGHTS DRIVE  ; BOWIE  ; MD  ; 20720,BOWIE  ,MD
PO441112,SPECIAL EDUCATION TRANSPORTATION,"BUSES, SCHOOL AND MASS TRANSIT, MAINTENANCE AND REPAIR (NOT OTHERWISE CLASSIFIED 24",$654000.00,10/01/2012,"ODYSSEY SST BUS AND TRUCK REPAIR, INC.",5200 46TH AVE  ; HYATTSVILLE  ; MD  ; 20781,HYATTSVILLE  ,MD
PO440803,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$47541.00,10/01/2012,"STEPHEN M. PERLITSH, P.C.","110 WEST 34TH STREET, #300  ; NEW YORK  ; NY  ; 10001",NEW YORK  ,NY
PO440834,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$59032.50,10/01/2012,"EARLE W. BAUGNMAN, JR., M.D.",4421 SEMINARY ROAD  ; ALEXANDRIA  ; VA  ; 22304,ALEXANDRIA  ,VA
PO440883,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$28800.00,10/01/2012,"EARLE W. BAUGNMAN, JR., M.D.",4421 SEMINARY ROAD  ; ALEXANDRIA  ; VA  ; 22304,ALEXANDRIA  ,VA
PO408215-V2,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$25967.50,10/01/2012,"EARLE W. BAUGNMAN, JR., M.D.",4421 SEMINARY ROAD  ; ALEXANDRIA  ; VA  ; 22304,ALEXANDRIA  ,VA
PO441052,DEPARTMENT ON DISABILITY SERVICES,MEDICAL CONSULTING 78,$66193.92,10/01/2012,JANET S. BRANDON,522 HIGHT STREET  ; CHESTERTOWN  ; MD  ; 21620,CHESTERTOWN  ,MD
PO440656,DEPARTMENT ON DISABILITY SERVICES,SOFTWARE MAINTENANCE/SUPPORT 45,$4598.36,10/01/2012,"LBM SYSTEMS, LLC",145 CHERRY STREET  ; NEW CAANAN  ; CT  ; 06840,NEW CAANAN  ,CT
PO441076,LOTTERY & CHARITABLE GAMES CONTROL BOARD,SECURITY AND ACCESS SYSTEMS MAINTENANCE AND REPAIR 73,$3498.75,10/01/2012,NEXT GENERATION SECURITY,"210 N. 21ST STREET, UNIT J  ; PURCELLVILLE  ; VA  ; 20132",PURCELLVILLE  ,VA
PO440953,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$343006.15,10/01/2012,COMMUNITY CONNECTIONS,801 PENNSYLVANIA AVE SE # 201   ; WASHINGTON  ; DC  ; 20003-,WASHINGTON  ,DC
PO441110,DEPARTMENT ON DISABILITY SERVICES,ICE CREAM MAKING MACHINERY (INCLUDING MALT AND MILKSHAKE EQUIPMENT) 50,$22000.00,10/01/2012,TAYLOR EQUIPMENT DISTRIBUTORS,1595 CABIN BRANCH DRIVE  ; LANDOVER  ; MD  ; 20785,LANDOVER  ,MD
PO440946,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$169740.00,10/01/2012,THE COMMUNITY PARTNERSHIP\HOME,801 PENNSYLVANIA AVE SE 360  ; WASHINGTON  ; DC  ; 20003-,WASHINGTON  ,DC
PO440728,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$113262.50,10/01/2012,PSYCHIATRIC CENTER CHARTED,3001 BLADENSBURG ROAD N.E.   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO440654,DEPARTMENT OF MENTAL HEALTH,"MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62",$11122.00,10/01/2012,PSYCHIATRIC CENTER CHARTED,3001 BLADENSBURG ROAD N.E.   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO441079,LOTTERY & CHARITABLE GAMES CONTROL BOARD,"STORAGE SERVICES, DATA MEDIA 48",$4942.00,10/01/2012,FIRST FEDERAL CORPORATION,75 WEST WATKINS MILL ROAD   ; GAITHERSBURG  ; MD  ; 20878-,GAITHERSBURG  ,MD
PO440843,DEPARTMENT OF MENTAL HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$93600.00,10/01/2012,MOTIR SERVICES INC,4224 6TH STREET SE  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO440771,DEPARTMENT ON DISABILITY SERVICES,COMPUTER HARDWARE CONSULTING 28,$16885.44,10/01/2012,MELVIN WILLIAMS,1616 18TH STREET NW SUITE 101  ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO441057,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$99280.00,10/01/2012,COMMUNITY MULTISERVICES INC,1300 SPRING STREET SUITE 210  ; SILVER SPRING  ; MD  ; 20910-,SILVER SPRING  ,MD
PO440773,DEPARTMENT ON DISABILITY SERVICES,"MICROCOMPUTERS, HANDHELD, LAPTOP, AND NOTEBOOK 54",$12000.00,10/01/2012,INTEGRATION TECHNOLOGIES GROUP,2745 HARTLAND ROAD   ; FALLS CHURCH  ; VA  ; 22043-,FALLS CHURCH  ,VA
PO441027,DEPARTMENT OF MENTAL HEALTH,EDUCATION AND TRAINING CONSULTING 38,$7783.68,10/01/2012,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO440816,DEPARTMENT OF MENTAL HEALTH,NURSING SERVICES 64,$41113.54,10/01/2012,SYSTEMS ASSESSMENT RESEARCH,"9701 APOLLO DRIVE, SUITE 281   ; LARGO  ; MD  ; 20774-",LARGO  ,MD
PO440824,DEPARTMENT OF MENTAL HEALTH,"PLUMBING MAINTENANCE AND REPAIR (INCLUDES TOILETS, ETC.) 60",$15000.00,10/01/2012,FRY PLUMBING & HEATING,327 L STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO440645,CHILD AND FAMILY SERVICES,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$100000.00,10/01/2012,DC. CHILDRENS TRUST FUND,1112 11TH STREET NW SUITE B  ; WASHINGTON  ; DC  ; 20001-,WASHINGTON  ,DC
PO441034,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$170000.04,10/01/2012,JAMES R. MORTENSON,6471 BAY DRIVE  ; EDEN PRAIRIE  ; MN  ; 55346,EDEN PRAIRIE  ,MN
PO441138,DEPARTMENT OF MENTAL HEALTH,RECYCLED COMPUTER ACCESSORIES AND SUPPLIES 79,$3000.00,10/01/2012,FRANK PARSON PAPER COMPANY,1300 MERCEDES DRIVE   ; HANOVER  ; MD  ; 21076-3140,HANOVER  ,MD
PO441137,DEPARTMENT OF MENTAL HEALTH,RECYCLED COMPUTER ACCESSORIES AND SUPPLIES 79,$4500.00,10/01/2012,FRANK PARSON PAPER COMPANY,1300 MERCEDES DRIVE   ; HANOVER  ; MD  ; 21076-3140,HANOVER  ,MD
PO440909,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$420000.00,10/01/2012,QUEST DIAGNOSTICS NICHOLS INS,14225 NEWBROOK DRIVE                               DBA QUEST DIAGNOSTICS  ; CHANTILLY  ; VA  ; 20151,CHANTILLY  ,VA
PO441006,DEPARTMENT OF PUBLIC WORKS,"SAWS (NON-POWERED): HACK, KEYHOLE, PRUNING, POLE, ETC. 58",$20000.00,10/01/2012,"WEST END SERVICES, INC.",8600 FREDERICK ROAD   ; ELLICOTT CITY  ; MD  ; 21043-,ELLICOTT CITY  ,MD
